Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.jclouds.azureblob.binders.BindAzureBlobMetadataToRequest,org.jclouds.http.HttpRequest,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  toBuilder ]
org.jclouds.azureblob.blobstore.AzureBlobStore,org.jclouds.azureblob.blobstore.functions.ContainerToResourceMetadata,0,0,0,1,0,1,0,1,1,1,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.AzureBlobStore,org.jclouds.azure.storage.options.ListOptions$Builder,1,0,0,0,0,0,0,0,0,0,1,[  includeMetadata ],0,[  ]
org.jclouds.azureblob.functions.ReturnFalseIfContainerAlreadyExists,org.jclouds.azure.storage.domain.AzureStorageError,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getCode ]
org.jclouds.azureblob.AzureBlobAsyncClient,org.jclouds.azureblob.domain.AzureBlob,0,0,0,1,0,1,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.config.AzureBlobStoreContextModule,com.google.inject.Scopes,1,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.functions.ParseBlobFromHeadersAndHttpContent,org.jclouds.azureblob.domain.AzureBlob,0,0,0,1,0,0,0,0,1,0,0,[  ],2,[  setPayload getAllHeaders ]
org.jclouds.azureblob.blobstore.AzureBlobStore,org.jclouds.azureblob.blobstore.functions.BlobToAzureBlob,0,0,0,0,0,1,0,1,1,1,0,[  ],1,[  apply ]
org.jclouds.azureblob.AzureBlobClient,org.jclouds.http.options.GetOptions,1,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.functions.ParseBlobFromHeadersAndHttpContent,org.jclouds.http.HttpRequest,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.jclouds.azureblob.functions.ParseContainerPropertiesFromHeaders,org.jclouds.http.HttpException,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.functions.ParseBlobFromHeadersAndHttpContent,org.jclouds.http.HttpResponse,1,0,0,0,1,0,0,0,1,1,0,[  ],2,[  getPayload getHeaders ]
org.jclouds.azureblob.domain.AzureBlob,org.jclouds.io.PayloadEnclosing,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.AzureBlobStore,org.jclouds.blobstore.domain.PageSet,1,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.options.ListBlobsOptions$Builder,org.jclouds.azureblob.options.ListBlobsOptions,0,0,0,1,0,0,1,0,1,0,0,[  ],5,[  includeMetadata delimiter prefix marker maxResults ]
org.jclouds.azureblob.blobstore.functions.BlobPropertiesToBlobMetadata,org.jclouds.azureblob.domain.PublicAccess,0,0,0,0,0,1,0,0,1,1,0,[  ],0,[  ]
org.jclouds.azureblob.config.AzureBlobModule,com.google.inject.binder.AnnotatedBindingBuilder,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  to ]
org.jclouds.azureblob.domain.AzureBlob,com.google.common.collect.Multimap,1,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.AzureBlobApiMetadata,org.jclouds.azureblob.AzureBlobApiMetadata$Builder,0,0,0,1,1,0,1,0,1,0,0,[  ],1,[  fromApiMetadata ]
org.jclouds.azureblob.binders.BindAzureBlobMetadataToRequest,com.google.common.collect.Multimaps,1,0,0,0,0,0,0,0,0,0,1,[  forMap ],0,[  ]
org.jclouds.azureblob.blobstore.strategy.FindMD5InBlobProperties,org.jclouds.blobstore.strategy.ListBlobsInContainer,1,0,0,0,1,0,0,1,1,0,0,[  ],1,[  execute ]
org.jclouds.azureblob.config.AzureBlobModule,org.jclouds.azureblob.domain.AzureBlob$Factory,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  create ]
org.jclouds.azureblob.functions.ParseBlobPropertiesFromHeaders,org.jclouds.blobstore.domain.BlobMetadata,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.AzureAsyncBlobStore,org.jclouds.blobstore.domain.StorageMetadata,1,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.config.AzureBlobModule,com.google.inject.Scopes,1,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.xml.AccountNameEnumerationResultsHandler,org.jclouds.http.functions.ParseSax$HandlerWithResult,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.AzureBlobApiMetadata,org.jclouds.rest.RestContext,1,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.jclouds.azureblob.blobstore.strategy.FindMD5InBlobProperties,org.jclouds.blobstore.internal.BlobRuntimeException,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
