Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
com.browseengine.bobo.facets.filter.FacetFilter$FacetDataRandomAccessDocIdSet,com.browseengine.bobo.facets.filter.FacetFilter$FacetDocIdSetIterator,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.client.BrowseResultFormatter,com.browseengine.bobo.api.BrowseResult,0,0,0,0,1,0,0,0,1,0,0,[  ],4,[  getNumHits getTotalDocs getHits getFacetMap ]
com.browseengine.bobo.facets.impl.CompactMultiValueFacetHandler$CompactMultiValueFacetCountCollector,com.browseengine.bobo.facets.data.FacetDataCache,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.DefaultFacetCountCollector,com.browseengine.bobo.api.ComparatorFactory,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  newComparator ]
com.browseengine.bobo.facets.impl.FacetValueComparatorFactory,com.browseengine.bobo.api.ComparatorFactory,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.filter.FacetRangeFilter,com.browseengine.bobo.docidset.RandomAccessDocIdSet,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.BucketFacetHandler,com.browseengine.bobo.facets.filter.RandomAccessAndFilter,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.service.DefaultBrowseQueryParser,com.kamikaze.docidset.impl.OrDocIdSet,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.VirtualSimpleFacetHandler,com.browseengine.bobo.facets.data.FacetDataFetcher,0,0,0,0,0,1,0,1,1,0,0,[  ],2,[  cleanup fetch ]
com.browseengine.bobo.facets.impl.MultiValueFacetHandler,com.browseengine.bobo.facets.impl.MultiValueFacetHandler$2,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.CombinedFacetAccessible$2,org.apache.lucene.util.PriorityQueue,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.SimpleGroupbyFacetHandler$GroupbyDocComparator$1,com.browseengine.bobo.sort.DocComparator,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  value ]
com.browseengine.bobo.facets.impl.SimpleGroupbyFacetHandler$GroupbyFacetCountCollector,com.browseengine.bobo.util.IntBoundedPriorityQueue$IntComparator,0,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.impl.BrowseServiceImpl,org.apache.lucene.store.FSDirectory,1,0,0,0,0,0,0,0,0,0,1,[  open ],0,[  ]
com.browseengine.bobo.search.section.SectionSearchQuery$SectionSearchScorer,org.apache.lucene.search.Similarity,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
com.browseengine.bobo.facets.impl.MultiValueFacetHandler$1,com.browseengine.bobo.api.BoboIndexReader,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
