Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
Main,Dispatcher,0,0,0,0,0,0,0,0,1,0,1,[  create ],2,[  start join ]
Seller,FilterSubscrValue,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
FilterInterval,Filter,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
Dispatcher,Event,0,0,0,0,1,1,1,0,1,1,0,[  ],0,[  ]
Buyer,Seller,0,0,0,0,1,0,0,0,1,0,0,[  ],2,[  generate getPrice ]
DispatcherThread,Event,0,0,0,0,0,0,0,1,0,0,0,[  ],0,[  ]
Seller,Buyer,0,0,0,0,1,0,0,0,1,0,0,[  ],2,[  calculateStock getPrice ]
Bursa,Dispatcher,0,0,0,0,0,0,0,0,1,0,1,[  create ],1,[  kill ]
FilterDeltaValue,Event,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
Seller,Dispatcher,0,0,0,0,1,0,0,1,0,0,0,[  ],2,[  addSubscriber publish ]
Buyer,Bursa,0,0,0,0,1,0,0,1,0,0,0,[  ],5,[  add_transaction getSeller getMinimumTransactionPriceSelling getAverageTransactionNoStockSold getMaximumTransactionNoStockSelling ]
Dispatcher,Subscriber,0,0,0,0,0,1,0,0,1,1,0,[  ],1,[  inform ]
FilterDeltaValue,Filter,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
Bursa,Tranzactie,0,0,0,0,0,1,1,0,1,1,0,[  ],2,[  getNo_stocks getPrice ]
Buyer,Event,0,0,0,0,1,0,1,0,1,0,0,[  ],0,[  ]
FilterSubscrValue,Subscriber,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  getPrice ]
Subscriber,Event,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
Bursa,Buyer,0,0,0,1,1,1,1,0,1,1,0,[  ],5,[  getNo_stock start getIdSub join getPrice ]
Seller,Event,0,0,0,0,1,0,1,0,1,0,0,[  ],0,[  ]
Buyer,Subscriber,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
Filter,Event,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
Buyer,FilterSubscrValue,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
FilterInterval,Event,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
Dispatcher,Triplet,0,0,0,0,0,1,1,0,0,1,0,[  ],0,[  ]
FilterSubscrValue,Event,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
Seller,Subscriber,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
Main,Bursa,0,0,0,0,0,0,0,0,1,0,1,[  create ],3,[  getTransactions start join ]
Buyer,Dispatcher,0,0,0,0,1,0,0,1,0,0,0,[  ],2,[  addSubscriber publish ]
DispatcherThread,Dispatcher,0,0,0,0,0,0,0,0,1,0,1,[  create ],1,[  post ]
FilterValue,Event,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
Bursa,Seller,0,0,0,1,1,1,1,0,1,1,0,[  ],5,[  getNo_stock start getIdSub join getPrice ]
FilterSubscrValue,Filter,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
Dispatcher,Filter,0,0,0,0,0,1,0,0,1,1,0,[  ],1,[  apply ]
Seller,Bursa,0,0,0,0,1,0,0,1,0,0,0,[  ],6,[  add_transaction getMaximumTransactionPriceBuying getAverageTransactionNoStockSelling getBuyer getMaximumTransactionNoStockSold getAverageTransactionNoStockBuying ]
FilterValue,Filter,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
