Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.andromda.samples.carrental.inventory.CarAccessoryTypeDaoBase$2,net.sf.hibernate.Session,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractDaoBase$1,org.andromda.samples.carrental.contracts.Contract,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.admins.ejb.AdminServiceHome,javax.ejb.EJBLocalHome,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.CriteriaSearch,org.apache.commons.lang.StringUtils,1,0,0,0,0,0,0,0,0,0,1,[  join ],0,[  ]
org.andromda.samples.carrental.contracts.ContractDaoBase,org.andromda.samples.carrental.contracts.ContractDaoBase$2,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarTypeDaoBase$1,org.andromda.samples.carrental.inventory.CarTypeDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase$2,org.andromda.samples.carrental.inventory.CarAccessoryDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  update ]
org.andromda.samples.carrental.inventory.CarAccessoryTypeDaoBase,org.andromda.samples.carrental.inventory.CarAccessoryType,0,0,0,1,1,0,0,0,1,1,0,[  ],3,[  setManufacter setOrderNo setIdentifier ]
org.andromda.samples.carrental.contracts.ContractDaoBase$1,org.andromda.samples.carrental.contracts.ContractDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
org.andromda.samples.carrental.contracts.ContractServiceBase,org.andromda.samples.carrental.PrincipalStore,0,0,0,0,0,0,0,0,0,0,1,[  get ],0,[  ]
org.andromda.samples.carrental.contracts.AccidentDocDaoBase$1,org.andromda.samples.carrental.contracts.AccidentDocDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
org.andromda.samples.carrental.inventory.CarTypeDao,org.andromda.samples.carrental.inventory.CarType,0,0,0,1,1,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.PartnerInAccidentDaoBase$2,org.andromda.samples.carrental.contracts.PartnerInAccident,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.Car,org.andromda.samples.carrental.inventory.CarType,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.HandoutDocDaoBase,org.andromda.samples.carrental.contracts.HandoutDocDaoBase$2,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase$2,net.sf.hibernate.Session,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.AccidentDocDaoBase,org.andromda.samples.carrental.contracts.Contract,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractServiceBase,org.andromda.samples.carrental.contracts.ReservationDao,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.admins.AdministratorDaoBase,org.springframework.orm.hibernate.HibernateTemplate,1,0,0,0,0,0,0,0,1,0,0,[  ],7,[  get save deleteAll update loadAll execute delete ]
org.andromda.samples.carrental.inventory.CarAccessoryImpl,org.andromda.samples.carrental.inventory.CarAccessory,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryTypeDaoBase,org.andromda.samples.carrental.inventory.CarAccessoryTypeDaoBase$1,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.AccidentDoc$Factory,org.andromda.samples.carrental.contracts.AccidentDocImpl,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReturnDocDao,org.andromda.samples.carrental.contracts.ReturnDoc,0,0,0,1,1,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractServiceBase,org.andromda.samples.carrental.customers.CustomerDao,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReturnDocDaoBase$2,org.andromda.samples.carrental.contracts.ReturnDocDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  update ]
org.andromda.samples.carrental.inventory.CarDaoBase$2,org.andromda.samples.carrental.inventory.CarDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  update ]
org.andromda.samples.carrental.contracts.AccidentDocDao,org.andromda.samples.carrental.contracts.AccidentDoc,0,0,0,1,1,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryTypeDaoBase$1,org.andromda.samples.carrental.inventory.CarAccessoryTypeDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
org.andromda.samples.carrental.inventory.CarTypeDaoBase$1,org.andromda.samples.carrental.inventory.CarType,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.InventoryServiceBase,org.andromda.samples.carrental.inventory.CarAccessoryTypeDao,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.CustomerDaoBase$2,net.sf.hibernate.Session,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.CustomerServiceImpl,org.andromda.samples.carrental.customers.CustomerServiceBase,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.InventoryServiceBase,java.security.Principal,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarTypeDaoBase,org.springframework.orm.hibernate.support.HibernateDaoSupport,1,1,0,0,0,0,0,0,0,0,0,[  ],1,[  getHibernateTemplate ]
org.andromda.samples.carrental.customers.DriverDaoBase$2,org.andromda.samples.carrental.customers.Driver,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarDaoBase,org.springframework.orm.hibernate.HibernateTemplate,1,0,0,0,0,0,0,0,1,0,0,[  ],7,[  get save deleteAll update loadAll execute delete ]
org.andromda.samples.carrental.admins.AdministratorDaoBase$2,org.andromda.samples.carrental.admins.Administrator,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.Contract$Factory,org.andromda.samples.carrental.contracts.Contract,0,0,0,1,0,0,0,0,1,0,0,[  ],8,[  setHandoutDoc setDriver setReturnDoc setCustomer setCars setAccidentDoc setSigned setContractNo ]
org.andromda.samples.carrental.contracts.Contract$Factory,org.andromda.samples.carrental.contracts.HandoutDoc,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryDao,org.andromda.samples.carrental.inventory.CarAccessory,0,0,0,1,1,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.HandoutDocDaoBase$1,org.andromda.samples.carrental.contracts.HandoutDocDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
org.andromda.samples.carrental.contracts.ReservationDaoBase$1,org.andromda.samples.carrental.contracts.ReservationDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
org.andromda.samples.carrental.customers.CustomerDaoBase,org.andromda.samples.carrental.customers.CustomerDao,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.PartnerInAccidentDaoBase,org.andromda.samples.carrental.contracts.AccidentDoc,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.PartnerInAccidentDaoBase$1,org.springframework.orm.hibernate.HibernateCallback,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.DriverDaoBase$2,net.sf.hibernate.Session,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.admins.AdminServiceBase,java.security.Principal,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractServiceBase,org.andromda.samples.carrental.contracts.ContractService,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractDaoBase,org.andromda.samples.carrental.contracts.HandoutDoc,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.DriverDao,org.andromda.samples.carrental.customers.Driver,0,0,0,1,1,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase$2,org.springframework.orm.hibernate.HibernateCallback,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ReturnDocDaoBase$2,net.sf.hibernate.Session,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.CustomerServiceBase,org.andromda.samples.carrental.PrincipalStore,0,0,0,0,0,0,0,0,0,0,1,[  get ],0,[  ]
org.andromda.samples.carrental.contracts.PartnerInAccidentDaoBase$2,net.sf.hibernate.Session,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarDaoBase,org.andromda.samples.carrental.inventory.CarDao,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarTypeDaoBase,org.andromda.samples.carrental.inventory.CarType,0,0,0,1,1,0,0,0,1,1,0,[  ],4,[  setComfortClass setOrderNo setIdentifier setManufacturer ]
org.andromda.samples.carrental.customers.CustomerDaoBase$2,org.springframework.orm.hibernate.HibernateCallback,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.ServiceLocator,org.springframework.beans.factory.BeanFactory,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getBean ]
org.andromda.samples.carrental.contracts.ReturnDocDaoBase$1,org.springframework.orm.hibernate.HibernateCallback,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.DriverDaoBase,org.andromda.samples.carrental.customers.DriverImpl,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase,org.andromda.samples.carrental.inventory.CarAccessoryType,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase,org.andromda.samples.carrental.inventory.CarAccessoryImpl,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessory$Factory,org.andromda.samples.carrental.inventory.Car,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.admins.AdministratorDaoBase$1,net.sf.hibernate.Session,1,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractServiceBase,org.andromda.samples.carrental.contracts.ContractDao,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.customers.CustomerImpl,org.andromda.samples.carrental.customers.Driver,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.HandoutDocImpl,org.andromda.samples.carrental.contracts.HandoutDoc,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractDaoBase$2,org.andromda.samples.carrental.contracts.ContractDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  update ]
org.andromda.samples.carrental.contracts.ReturnDoc,org.andromda.samples.carrental.contracts.Contract,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarAccessoryDaoBase,org.andromda.samples.carrental.inventory.CarAccessory,0,0,0,1,1,0,0,0,1,1,0,[  ],3,[  setCar setInventoryNo setCarAccessoryType ]
org.andromda.samples.carrental.contracts.ejb.ContractServiceHome,javax.ejb.EJBLocalHome,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarTypeDaoBase,org.andromda.samples.carrental.inventory.CarTypeImpl,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.contracts.ContractDaoBase$2,org.springframework.orm.hibernate.HibernateCallback,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.andromda.samples.carrental.inventory.CarDaoBase$1,org.andromda.samples.carrental.inventory.CarDaoBase,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  create ]
