Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.codemonkey.javareflection.FieldUtils,org.codemonkey.javareflection.FieldUtils$BeanRestriction,0,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.codemonkey.javareflection.JReflect$LookupMode,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.codemonkey.javareflection.FieldUtils$BeanRestriction,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.codemonkey.javareflection.ValueConverter,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.codemonkey.javareflection.ValueConverter,org.apache.commons.lang.Validate,1,0,0,0,0,0,0,0,0,0,1,[  isTrue ],0,[  ]
org.codemonkey.javareflection.ValueConverter,org.apache.commons.lang.math.NumberUtils,1,0,0,0,0,0,0,0,0,0,1,[  isNumber ],0,[  ]
org.codemonkey.javareflection.JReflect,org.codemonkey.javareflection.JReflect$LookupMode,0,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.codemonkey.javareflection.ExternalClassLoader,org.codemonkey.javareflection.ExternalClassLoader$CompileException,0,0,0,0,0,0,1,1,1,0,0,[  ],0,[  ]
org.codemonkey.javareflection.ExternalClassLoader$CompileException,javax.script.ScriptException,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.codemonkey.javareflection.ValueConverter,org.codemonkey.javareflection.ValueConverter$IncompatibleTypeException,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.codemonkey.javareflection.ValueConverter,java.math.BigDecimal,1,0,0,0,0,0,0,0,0,0,1,[  valueOf ],0,[  ]
org.codemonkey.javareflection.ValueConverter,java.math.BigInteger,1,0,0,0,0,0,0,0,0,0,1,[  valueOf ],0,[  ]
org.codemonkey.javareflection.JReflect,org.codemonkey.javareflection.ExternalClassLoader,0,0,0,0,0,1,0,0,1,0,0,[  ],1,[  loadClass ]
org.codemonkey.javareflection.FieldUtils$Visibility,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.codemonkey.javareflection.JReflect,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.codemonkey.javareflection.FieldUtils,org.codemonkey.javareflection.FieldUtils$Visibility,0,0,0,0,0,1,0,0,1,1,1,[  access$000 ],1,[  equals ]
org.codemonkey.javareflection.FieldUtils,org.apache.commons.lang.StringUtils,1,0,0,0,0,0,0,0,0,0,1,[  capitalize ],0,[  ]
org.codemonkey.javareflection.FieldUtils,org.codemonkey.javareflection.FieldWrapper,0,0,0,0,0,1,1,0,1,0,0,[  ],0,[  ]
org.codemonkey.javareflection.FieldUtils,org.codemonkey.javareflection.JReflect,0,0,0,0,0,0,0,0,0,0,1,[  findSimpleCompatibleMethod ],0,[  ]
org.codemonkey.javareflection.JReflect,org.codemonkey.javareflection.ValueConverter,0,0,0,0,0,0,0,0,0,0,2,[  collectCompatibleTypes convert ],0,[  ]
