Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.mr.api.blocks.MantaInputStream,java.nio.ByteBuffer,1,0,0,0,0,0,0,1,0,0,2,[  allocate wrap ],3,[  get hasRemaining remaining ]
org.mr.api.jms.MantaTextMessage,javax.jms.MessageNotWriteableException,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.selector.syntax.Not,org.mr.api.jms.selector.syntax.MantaObject,0,0,0,1,0,0,0,0,1,0,0,[  ],0,[  ]
org.mr.kernel.IncomingClientMessageRouter,org.mr.core.util.Stage,0,0,0,0,0,0,1,1,0,0,0,[  ],1,[  enqueue ]
org.mr.core.net.Link,org.mr.core.util.byteable.ByteableInputStream,0,0,0,0,1,0,0,0,1,0,0,[  ],3,[  readLong readInt readASCIIString ]
org.mr.kernel.IncomingMessageListenerRegister,org.apache.commons.logging.LogFactory,1,0,0,0,0,0,0,0,0,0,1,[  getLog ],0,[  ]
org.mr.api.rmi.MantaRMIServer,org.mr.core.configuration.ConfigManager,0,0,0,0,0,0,0,0,1,0,0,[  ],3,[  getIntProperty getStringProperty getBooleanProperty ]
org.mr.core.util.xml.sax.QueueContentHandler$SaxEvent,org.xml.sax.ContentHandler,1,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.MantaXAConnection,org.mr.api.jms.MantaConnection,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.api.jms.selector.syntax.DefaultExpressionFactory,org.mr.api.jms.selector.syntax.ExpressionFactory,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.util.xml.sax.QueueContentHandler$EndPrefixMapping,org.mr.core.util.xml.sax.QueueContentHandler$SaxEvent,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.mr.core.util.AbstractStage,org.mr.core.util.StageHandler,0,0,0,0,0,0,0,1,0,0,0,[  ],1,[  handle ]
org.mr.core.net.SSLTransportImpl,java.nio.channels.ReadableByteChannel,1,0,0,0,0,0,0,1,0,0,0,[  ],1,[  read ]
org.mr.core.log.LogLayout,org.apache.log4j.Level,1,0,0,0,1,0,0,0,1,0,0,[  ],1,[  toInt ]
org.mr.core.net.NetworkSelector$4,org.mr.core.net.NetworkSelector,0,0,0,0,1,0,0,1,1,0,1,[  access$300 ],0,[  ]
org.mr.core.net.Transport,org.mr.core.net.NetworkListener,0,0,1,0,1,0,0,1,1,0,0,[  ],1,[  messageReady ]
