Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
io.nadron.handlers.netty.WebSocketLoginHandler,io.nadron.service.impl.ReconnectSessionRegistry,0,0,0,1,1,0,0,1,1,0,0,[  ],1,[  getSession ]
io.nadron.handlers.netty.LoginHandler$1,io.nadron.app.PlayerSession,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  setTcpSender ]
io.nadron.protocols.impl.MessageBufferProtocol,io.nadron.handlers.netty.DefaultToServerHandler,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
io.nadron.app.PlayerSession,io.nadron.event.Event,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
io.nadron.concurrent.LaneStrategy,io.nadron.concurrent.Lane,0,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
io.nadron.event.ConnectEvent,io.nadron.communication.MessageSender$Reliable,0,0,0,1,1,0,0,0,0,0,0,[  ],0,[  ]
io.nadron.protocols.impl.AMF3StringProtocol,io.nadron.handlers.netty.NulEncoder,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
io.nadron.server.netty.NettyUDPServer,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
io.nadron.app.impl.GameRoomSession,io.nadron.app.Session$Status,0,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
io.nadron.communication.NettyMessageBuffer,io.netty.buffer.ByteBuf,1,0,0,1,1,1,0,1,1,0,0,[  ],25,[  writeFloat readChar writeLong array readFloat readInt readUnsignedByte readUnsignedMedium writeDouble writeInt writeMedium writeByte readableBytes clear readUnsignedInt writeChar readMedium writeBytes readLong readShort readBytes writeShort readByte isReadable readUnsignedShort ]
io.nadron.event.impl.DefaultNetworkEvent,io.nadron.event.NetworkEvent,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
io.nadron.app.Session$Status,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
io.nadron.event.AbstractEventHandler,io.nadron.event.EventHandler,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
io.nadron.server.Server,io.nadron.server.Server$TransmissionProtocol,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
io.nadron.concurrent.Fibers,org.jetlang.fibers.PoolFiberFactory,1,0,0,0,0,1,1,1,1,1,0,[  ],1,[  create ]
io.nadron.event.impl.JetlangEventDispatcher$2,io.nadron.event.impl.JetlangEventDispatcher,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
io.nadron.app.SessionFactory,io.nadron.app.Session,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
io.nadron.concurrent.Agent,org.jetlang.core.Callback,1,0,0,0,0,0,0,1,0,0,0,[  ],0,[  ]
io.nadron.event.EventDispatcher,io.nadron.event.Event,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
io.nadron.handlers.netty.JavaObjectToAMF3Encoder,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
io.nadron.handlers.netty.WebSocketLoginHandler,io.nadron.util.SimpleCredentials,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
io.nadron.util.NettyUtils,org.slf4j.Logger,1,0,0,0,0,0,0,1,0,0,0,[  ],2,[  trace error ]
io.nadron.handlers.netty.LoginProtocol$HTTPProtocol,io.nadron.handlers.netty.WebSocketLoginHandler,0,0,0,1,1,0,0,1,1,0,0,[  ],0,[  ]
io.nadron.server.netty.ProtocolMultiplexerChannelInitializer,io.netty.channel.ChannelPipeline,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  addLast ]
io.nadron.event.impl.JetlangEventDispatcher,org.jetlang.core.Callback,1,0,0,0,0,1,0,0,1,0,0,[  ],0,[  ]
io.nadron.app.impl.Sessions,io.nadron.app.impl.DefaultPlayerSession$PlayerSessionBuilder,0,0,0,0,0,0,1,0,1,0,0,[  ],3,[  build parentGameRoom player ]
io.nadron.event.Events,io.nadron.communication.DeliveryGuaranty,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
