Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.kuali.rice.kim.service.IdentityService,org.kuali.rice.kim.bo.reference.dto.EntityTypeInfo,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.service.IdentityService,org.kuali.rice.kim.bo.entity.dto.KimPrincipalInfo,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.service.PermissionService,org.kuali.rice.kim.bo.types.dto.AttributeSet,0,0,0,0,1,1,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.core.resourceloader.ResourceLoaderContainer,org.apache.commons.lang.ObjectUtils,1,0,0,0,0,0,0,0,0,0,1,[  identityToString ],0,[  ]
org.kuali.rice.core.resourceloader.GlobalResourceLoader,org.kuali.rice.core.resourceloader.ResourceLoaderContainer,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.kuali.rice.kew.service.WorkflowUtility,org.kuali.rice.kim.bo.types.dto.AttributeSet,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.core.jaxb.JaxbDateAdapter,javax.xml.bind.annotation.adapters.XmlAdapter,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.entity.dto.KimDefaultableInfo,org.kuali.rice.kim.bo.entity.dto.KimInactivatableInfo,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.service.RoleService,org.kuali.rice.kim.bo.role.dto.KimRoleInfo,0,0,0,1,0,1,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.core.resourceloader.ParentChildResourceLoader,org.kuali.rice.core.resourceloader.BaseResourceLoader,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kcb.exception.MessageDeliveryException,org.kuali.rice.kcb.exception.MessageDeliveryProcessingException,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.entity.dto.KimEntityInfo,org.kuali.rice.kim.bo.entity.dto.KimEntityAffiliationInfo,0,0,0,1,0,1,0,0,1,1,0,[  ],1,[  isDefault ]
org.kuali.rice.kim.bo.entity.dto.KimEntityDefaultInfo,org.kuali.rice.kim.bo.entity.KimEntityEmploymentInformation,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.types.KimAttributeSet,org.kuali.rice.kim.bo.types.KimAttributeSet$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kns.util.KualiInteger,org.kuali.rice.kns.util.KualiDecimal,0,0,0,1,1,0,1,0,1,0,0,[  ],1,[  bigDecimalValue ]
org.kuali.rice.core.resourceloader.GlobalResourceLoader,org.apache.commons.lang.StringUtils,1,0,0,0,0,0,0,0,0,0,1,[  isEmpty ],0,[  ]
org.kuali.rice.kim.bo.group.dto.GroupMembershipInfo,org.kuali.rice.kns.dto.InactiveableInfo,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.service.IdentityManagementService,org.kuali.rice.kim.bo.reference.dto.PhoneTypeInfo,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.role.KimResponsibility,org.kuali.rice.kim.bo.role.ResponsibilityDetails,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kew.service.WorkflowUtility,org.kuali.rice.kew.dto.DocumentTypeDTO,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kew.webservice.DocumentResponse,org.kuali.rice.kew.webservice.StandardResponse,0,1,0,0,1,0,0,0,1,0,0,[  ],8,[  getDocStatus getCreateDate getInitiatorName getRoutedByPrincipalId getRoutedByUserName getAppDocId getInitiatorPrincipalId getErrorMessage ]
org.kuali.rice.kim.service.IdentityService,org.kuali.rice.kim.bo.entity.dto.KimEntityInfo,0,0,0,1,0,1,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.core.reflect.ObjectDefinition,org.kuali.rice.core.reflect.PropertyDefinition,0,0,0,1,1,1,0,0,1,1,0,[  ],1,[  getName ]
org.kuali.rice.kim.bo.entity.dto.KimEntityInfo$8,org.kuali.rice.kim.bo.entity.dto.KimEntityEthnicityInfo,0,0,0,1,0,0,1,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kns.service.ParameterConstants$NERVOUS_SYSTEM_ALL,org.kuali.rice.kns.service.ParameterConstants,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.service.IdentityManagementService,org.kuali.rice.kim.bo.entity.dto.KimPrincipalInfo,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.entity.dto.KimEntityInfo$4,org.kuali.rice.kim.bo.entity.dto.KimEntityInfo$XForm,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.reference.CitizenshipStatus,org.kuali.rice.kim.bo.reference.KimCode,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kns.util.KNSConstants,org.kuali.rice.core.util.JSTLConstants,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.service.IdentityService,org.kuali.rice.kim.bo.entity.dto.KimEntityDefaultInfo,0,0,0,1,0,1,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kew.dto.UserIdDTO,org.kuali.rice.kew.dto.RecipientIdDTO,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.core.resourceloader.ObjectDefinitionResolver,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.kuali.rice.kew.service.WorkflowUtility,org.kuali.rice.kew.dto.ActionTakenDTO,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.types.KimAttributeSet$1$1,org.kuali.rice.kim.bo.types.KimAttributeSet$1,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.entity.dto.KimEntityPrivacyPreferencesInfo,org.kuali.rice.kim.bo.entity.KimEntityPrivacyPreferences,0,0,1,0,1,0,0,0,1,0,0,[  ],5,[  isSuppressAddress isSuppressPhone isSuppressPersonal isSuppressEmail isSuppressName ]
org.kuali.rice.kim.bo.entity.dto.KimEntityInfo,org.kuali.rice.kim.bo.entity.dto.KimEntityInfo$1,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.kuali.rice.core.jaxb.MapStringStringAdapter,javax.xml.bind.annotation.adapters.XmlAdapter,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.service.IdentityService,org.kuali.rice.kim.bo.reference.dto.PhoneTypeInfo,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.core.config.ConfigContext,org.apache.commons.lang.StringUtils,1,0,0,0,0,0,0,0,0,0,1,[  isEmpty ],0,[  ]
org.kuali.rice.core.util.RiceConstants,java.text.SimpleDateFormat,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.kuali.rice.core.util.RiceConstants,java.text.DateFormat,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.entity.dto.KimEntityInfo,org.kuali.rice.kim.bo.entity.dto.KimEntityInfo$7,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.kuali.rice.kim.bo.entity.KimEntity,org.kuali.rice.kim.bo.entity.KimEntityExternalIdentifier,0,0,0,1,0,1,0,0,0,0,0,[  ],0,[  ]
org.kuali.rice.kim.xml.GroupXmlDto,org.kuali.rice.kim.xml.GroupMembershipXmlDto,0,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
