Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
com.yahoo.search.NewsSearchRequest,com.yahoo.rest.RestRequest,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.SearchClient,com.yahoo.search.VideoSearchResults,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.SearchClient,com.yahoo.search.xmlparser.XmlParserLocalSearchResults,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.yahoo.shopping.ProductSearchRequest,com.yahoo.rest.RestRequest,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.shopping.ShoppingClient,com.yahoo.shopping.ProductSearchResults,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserRelatedSuggestionResults,com.yahoo.search.RelatedSuggestionResults,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.myweb2.MyWeb2Client,com.yahoo.myweb2.xmlparser.XmlParserRelatedTagsResults,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.yahoo.myweb2.UrlSearchRequest,com.yahoo.rest.RestRequest,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserLocalSearchResults$XmlParserLocalSearchResult,java.math.BigInteger,1,0,0,1,0,0,0,1,1,0,0,[  ],0,[  ]
com.yahoo.shopping.Offer,com.yahoo.shopping.Merchant,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.myweb2.RelatedTagsResult,java.math.BigInteger,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserWebSearchResults$XmlParserWebSearchResult,com.yahoo.search.xmlparser.XmlParserWebSearchResults,0,0,0,0,1,0,0,1,0,0,0,[  ],0,[  ]
com.yahoo.search.LocalSearchResult$LocalSearchRating,java.math.BigInteger,1,0,0,1,1,0,0,1,0,0,0,[  ],0,[  ]
com.yahoo.shopping.xmlparser.XmlParserCatalogListingResults,com.yahoo.shopping.CatalogListingResults,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.rest.RestClient,java.net.HttpURLConnection,1,0,0,0,0,0,0,0,1,1,0,[  ],8,[  getErrorStream setRequestMethod setRequestProperty getResponseCode getOutputStream getResponseMessage getInputStream setDoOutput ]
com.yahoo.myweb2.xmlparser.XmlParserTagSearchResults,com.yahoo.xml.XmlParser,0,0,0,0,0,0,0,0,0,0,2,[  getBigInteger getList ],0,[  ]
com.yahoo.search.xmlparser.XmlParserImageThumbnail,com.yahoo.xml.XmlParser,0,0,0,0,0,0,0,0,0,0,2,[  getBigInteger getString ],0,[  ]
com.yahoo.search.xmlparser.XmlParserRelatedSuggestionResults,com.yahoo.search.RelatedSuggestionResults,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.shopping.ShoppingClient,com.yahoo.java.ExtendedError,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.yahoo.search.LocalSearchRequest,com.yahoo.rest.RestRequest,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserCacheInfo,com.yahoo.xml.XmlParser,0,0,0,0,0,0,0,0,0,0,1,[  getString ],0,[  ]
com.yahoo.search.NewsSearchResults,java.math.BigInteger,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserImageSearchResults,com.yahoo.search.xmlparser.XmlParserImageSearchResults$XmlParserImageSearchResult,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserLocalSearchResults$XmlParserLocalSearchResult,com.yahoo.xml.XmlParser,0,0,0,0,0,0,0,0,0,0,5,[  getBigInteger getList get getBigDecimal getString ],0,[  ]
com.yahoo.search.ImageThumbnail,java.math.BigInteger,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserNewsSearchResults,java.math.BigInteger,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserWebSearchResults$XmlParserWebSearchResult,com.yahoo.search.xmlparser.XmlParserCacheInfo,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.yahoo.myweb2.MyWeb2Client,com.yahoo.myweb2.MyWeb2Exception,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
com.yahoo.search.NewsSearchRequest,java.math.BigInteger,1,0,0,0,1,0,0,0,0,0,0,[  ],1,[  toString ]
com.yahoo.shopping.ProductSearchResults,java.math.BigInteger,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.myweb2.RelatedTagsResults,java.math.BigInteger,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.myweb2.UrlSearchResults,java.math.BigInteger,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserContentAnalysisResults,com.yahoo.search.ContentAnalysisResults,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserVideoSearchResults,java.math.BigInteger,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserCacheInfo,com.yahoo.search.CacheInfo,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.rest.RestClient,java.net.URL,1,0,0,0,0,0,1,0,1,0,0,[  ],1,[  openConnection ]
com.yahoo.search.SearchClient,com.yahoo.search.ContextSearchRequest,0,0,0,0,1,0,0,0,0,0,0,[  ],2,[  getRequestUrl getParameters ]
com.yahoo.search.VideoSearchRequest,com.yahoo.rest.RestRequest,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserNewsSearchResults$XmlParserNewsSearchResult,com.yahoo.search.ImageThumbnail,0,0,0,1,0,0,0,1,0,0,0,[  ],0,[  ]
com.yahoo.search.ContentAnalysisRequest,com.yahoo.rest.RestRequest,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.xmlparser.XmlParserLocalSearchResults$XmlParserLocalSearchResult,java.math.BigDecimal,1,0,0,1,0,0,0,0,1,0,0,[  ],0,[  ]
com.yahoo.myweb2.xmlparser.XmlParserRelatedTagsResults,com.yahoo.xml.XmlParser,0,0,0,0,0,0,0,0,0,0,2,[  getBigInteger getList ],0,[  ]
com.yahoo.shopping.ShoppingClient,com.yahoo.rest.RestClient,0,0,0,0,0,0,0,0,0,0,1,[  call ],0,[  ]
com.yahoo.search.xmlparser.XmlParserWebSearchResults$XmlParserWebSearchResult,com.yahoo.search.CacheInfo,0,0,0,1,0,0,0,1,0,0,0,[  ],0,[  ]
com.yahoo.myweb2.MyWeb2Client,com.yahoo.myweb2.TagSearchResults,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.VideoSearchResult,com.yahoo.search.ImageThumbnail,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.shopping.Catalog,com.yahoo.shopping.UserRating,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.shopping.xmlparser.XmlParserCatalogListingResults$XmlParserCatalogOffer,com.yahoo.xml.XmlParser,0,0,0,0,0,0,0,0,0,0,2,[  getBigDecimal getString ],0,[  ]
com.yahoo.search.xmlparser.XmlParserLocalSearchResults$XmlParserLocalSearchResult,com.yahoo.search.LocalSearchResult,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
com.yahoo.search.SearchClient,com.yahoo.search.LocalSearchResults,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
