Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.apache.poi.ss.formula.functions.Address,org.apache.poi.ss.formula.eval.MissingArgEval,0,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.poifs.filesystem.FilteringDirectoryNode,org.apache.poi.poifs.filesystem.DirectoryEntry,0,0,1,1,0,1,0,1,1,1,0,[  ],11,[  getParent getStorageClsid renameTo getName setStorageClsid createDirectory getEntry getEntryCount hasEntry delete createDocument ]
org.apache.poi.hssf.model.InternalSheet,org.apache.poi.hssf.record.SaveRecalcRecord,0,0,0,1,0,0,1,0,1,0,0,[  ],1,[  setRecalc ]
org.apache.poi.poifs.crypt.AgileDecryptor$ChunkedCipherInputStream,org.apache.poi.EncryptedDocumentException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.model.InternalWorkbook,org.apache.poi.ddf.EscherContainerRecord,0,0,0,0,0,0,1,0,1,1,0,[  ],7,[  setRecordId setChildRecords addChildRecord getChildIterator getChild setOptions getChildRecords ]
org.apache.poi.ss.format.CellFormatCondition$1,org.apache.poi.ss.format.CellFormatCondition,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.ss.formula.functions.LookupUtils,org.apache.poi.ss.formula.functions.LookupUtils$ValueVector,0,0,0,1,1,0,0,0,1,0,0,[  ],2,[  getSize getItem ]
org.apache.poi.ddf.EscherBSERecord,org.apache.poi.ddf.NullEscherSerializationListener,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.apache.poi.hssf.model.InternalWorkbook,org.apache.poi.ddf.EscherSplitMenuColorsRecord,0,0,0,0,0,0,1,0,1,0,0,[  ],6,[  setRecordId setColor4 setOptions setColor3 setColor2 setColor1 ]
org.apache.poi.ss.formula.eval.IntersectionEval,org.apache.poi.ss.formula.eval.RefEval,0,0,0,0,0,0,0,0,0,1,0,[  ],1,[  offset ]
org.apache.poi.ss.formula.functions.NumericFunction,org.apache.poi.ss.formula.eval.EvaluationException,0,0,0,0,0,0,1,0,1,0,0,[  ],1,[  getErrorEval ]
org.apache.poi.hssf.record.aggregates.ValueRecordsAggregate,org.apache.poi.hssf.record.aggregates.RecordAggregate$RecordVisitor,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  visitRecord ]
org.apache.poi.hssf.record.common.FeatProtection,org.apache.poi.util.LittleEndianOutput,0,0,0,0,1,0,0,0,1,0,0,[  ],2,[  writeInt write ]
org.apache.poi.hssf.usermodel.HSSFPatriarch,org.apache.poi.hssf.model.DrawingManager2,0,0,0,0,0,0,0,0,1,0,0,[  ],3,[  incrementDrawingsSaved allocateShapeId findNewDrawingGroupId ]
org.apache.poi.hssf.extractor.EventBasedExcelExtractor,org.apache.poi.hssf.extractor.EventBasedExcelExtractor$TextListener,0,0,0,1,0,0,1,0,1,0,0,[  ],0,[  ]
org.apache.poi.hssf.record.SaveRecalcRecord,org.apache.poi.hssf.record.StandardRecord,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.record.SSTSerializer,org.apache.poi.util.IntMapper,0,0,0,0,0,1,0,1,1,0,0,[  ],2,[  size get ]
org.apache.poi.hssf.usermodel.HSSFWorkbook,org.apache.poi.hssf.usermodel.HSSFPalette,0,0,0,1,0,0,1,0,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.record.aggregates.ChartSubstreamRecordAggregate,org.apache.poi.hssf.record.RecordBase,0,0,0,0,0,1,0,0,1,1,0,[  ],0,[  ]
org.apache.poi.ss.formula.functions.Offset,org.apache.poi.ss.formula.eval.RefEval,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
com.mebigfatguy.yank.PomHandler,com.mebigfatguy.yank.PomParseCompletedException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.apache.poi.poifs.storage.HeaderBlock,org.apache.poi.poifs.common.POIFSBigBlockSize,0,0,0,1,1,0,0,1,1,0,0,[  ],2,[  getBigBlockSize getHeaderValue ]
org.apache.poi.hssf.usermodel.HSSFWorkbook,org.apache.commons.codec.digest.DigestUtils,1,0,0,0,0,0,0,0,0,0,1,[  md5 ],0,[  ]
org.apache.poi.hssf.extractor.EventBasedExcelExtractor,org.apache.poi.hssf.eventusermodel.HSSFEventFactory,0,0,0,0,0,0,1,0,1,0,0,[  ],1,[  processWorkbookEvents ]
org.apache.poi.hssf.record.SSTRecord,org.apache.poi.hssf.record.RecordInputStream,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  readInt ]
org.apache.poi.hssf.record.pivottable.StreamIDRecord,org.apache.poi.util.HexDump,0,0,0,0,0,0,0,0,0,0,1,[  shortToHex ],0,[  ]
org.apache.poi.hssf.extractor.EventBasedExcelExtractor$TextListener,org.apache.poi.hssf.record.NumberRecord,0,0,0,0,0,0,0,0,1,1,0,[  ],1,[  getRow ]
org.apache.poi.hssf.record.BoundSheetRecord,org.apache.poi.util.BitFieldFactory,0,0,0,0,0,0,0,0,0,0,1,[  getInstance ],0,[  ]
org.apache.poi.poifs.filesystem.DirectoryNode,org.apache.poi.poifs.property.Property,0,0,0,0,0,1,0,0,1,1,0,[  ],4,[  getStorageClsid getName setStorageClsid isDirectory ]
org.apache.poi.ss.formula.FormulaShifter,org.apache.poi.ss.formula.ptg.AreaErrPtg,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.apache.poi.ss.formula.atp.NetworkdaysFunction,org.apache.poi.ss.formula.eval.ErrorEval,0,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.ss.formula.functions.AggregateFunction$LargeSmall,org.apache.poi.ss.formula.functions.Fixed2ArgFunction,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.record.SubRecord,org.apache.poi.hssf.record.NoteStructureSubRecord,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.record.aggregates.SharedValueManager,org.apache.poi.hssf.record.TableRecord,0,0,0,0,1,0,0,1,1,0,0,[  ],1,[  isFirstCell ]
org.apache.poi.hssf.usermodel.HSSFTextbox,org.apache.poi.ddf.DefaultEscherRecordFactory,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.apache.poi.ss.formula.functions.NumericFunction$34,org.apache.poi.ss.formula.functions.NumericFunction,0,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.ss.usermodel.charts.DataSources$AbstractCellRangeDataSource,org.apache.poi.ss.usermodel.Row,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getCell ]
org.apache.poi.ss.formula.FormulaParser,org.apache.poi.ss.formula.ptg.OperationPtg,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.apache.poi.ss.formula.eval.IntersectionEval,org.apache.poi.ss.formula.eval.AreaEval,0,0,0,1,1,0,0,0,1,1,0,[  ],5,[  getLastRow getFirstRow offset getLastColumn getFirstColumn ]
org.apache.poi.ss.formula.eval.forked.ForkedEvaluationCell,org.apache.poi.ss.formula.eval.BlankEval,0,0,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.hpsf.TypedPropertyValue,org.apache.poi.hpsf.Vector,0,0,0,0,0,0,1,0,0,1,0,[  ],1,[  read ]
org.apache.poi.hssf.usermodel.HSSFCell,org.apache.poi.ss.usermodel.FormulaError,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getCode ]
org.apache.poi.hssf.record.cf.BorderFormatting,org.apache.poi.util.BitFieldFactory,0,0,0,0,0,0,0,0,0,0,1,[  getInstance ],0,[  ]
org.apache.poi.hssf.usermodel.HSSFShapeGroup,org.apache.poi.hssf.record.CommonObjectDataSubRecord,0,0,0,0,0,0,1,0,1,1,0,[  ],6,[  setObjectType setAutofill setAutoline setObjectId setPrintable setLocked ]
org.apache.poi.hssf.record.aggregates.PageSettingsBlock,org.apache.poi.hssf.model.RecordStream,0,0,0,0,1,0,0,0,1,0,0,[  ],2,[  peekNextSid getNext ]
org.apache.poi.hssf.usermodel.HSSFComment,org.apache.poi.hssf.usermodel.HSSFTextbox,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.record.SubRecord$UnknownSubRecord,org.apache.poi.hssf.record.SubRecord,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.record.SharedFormulaRecord,org.apache.poi.hssf.record.RecordInputStream,0,0,0,0,1,0,0,0,1,0,0,[  ],2,[  readShort available ]
org.apache.poi.ss.format.CellFormatType,org.apache.poi.ss.format.CellFormatType$5,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.apache.poi.ss.formula.functions.Indirect,org.apache.poi.ss.formula.functions.FreeRefFunction,0,0,1,0,0,0,0,1,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.usermodel.HSSFTextbox,org.apache.poi.ddf.EscherTextboxRecord,0,0,0,0,0,0,1,0,1,0,0,[  ],2,[  setRecordId setOptions ]
org.apache.poi.ss.format.CellFormatType$5,org.apache.poi.ss.format.CellFormatter,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.record.LabelRecord,org.apache.poi.hssf.record.RecordFormatException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.apache.poi.hssf.usermodel.EscherGraphics2d,java.awt.image.RenderedImage,1,0,0,0,1,0,0,0,1,0,0,[  ],2,[  getColorModel getData ]
org.apache.poi.hssf.record.ProtectionRev4Record,org.apache.poi.util.BitField,0,0,0,0,0,0,0,1,0,0,0,[  ],2,[  isSet setBoolean ]
org.apache.poi.hssf.record.RecordInputStream,org.apache.poi.util.LittleEndianInput,0,0,1,1,0,0,0,1,0,1,0,[  ],6,[  readLong readShort readFully readInt readByte readUShort ]
org.apache.poi.ss.formula.atp.AnalysisToolPak$NotImplemented,org.apache.poi.ss.formula.functions.FreeRefFunction,0,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.ss.formula.functions.Counta$1,org.apache.poi.ss.formula.eval.ValueEval,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.apache.poi.ss.formula.ptg.ValueOperatorPtg,org.apache.poi.ss.formula.ptg.OperationPtg,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.apache.poi.poifs.storage.HeaderBlock,org.apache.poi.util.ShortField,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.apache.poi.poifs.filesystem.DirectoryNode,org.apache.poi.poifs.filesystem.EntryNode,0,1,0,0,1,0,0,0,1,1,0,[  ],2,[  getProperty getName ]
org.apache.poi.hssf.usermodel.HSSFCell,org.apache.poi.hssf.record.aggregates.RowRecordsAggregate,0,0,0,0,0,0,0,0,1,0,0,[  ],1,[  createFormula ]
org.apache.poi.hssf.usermodel.HSSFShapeFactory,org.apache.poi.hssf.record.EmbeddedObjectRefSubRecord,0,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.apache.poi.poifs.eventfilesystem.POIFSReader,org.apache.poi.poifs.storage.HeaderBlock,0,0,0,0,0,0,1,0,1,0,0,[  ],6,[  getXBATCount getSBATStart getBATArray getBigBlockSize getXBATIndex getBATCount ]
org.apache.poi.poifs.storage.RawDataBlock,org.apache.poi.util.POILogFactory,0,0,0,0,0,0,0,0,0,0,1,[  getLogger ],0,[  ]
org.apache.poi.ss.formula.eval.StringEval,org.apache.poi.ss.formula.ptg.StringPtg,0,0,0,0,0,0,0,0,0,1,0,[  ],1,[  getValue ]
