Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.wicketstuff.yui.markup.html.dragdrop.DragDropGroup,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.sortable.Droppable$2,org.wicketstuff.yui.markup.html.sortable.Draggable,0,0,0,0,1,0,0,0,1,0,0,[  ],1,[  getComponent ]
org.wicketstuff.yui.markup.html.selection.Selection$2,org.apache.wicket.model.AbstractReadOnlyModel,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.tabs.dynamictabbedpanel.DynamicAjaxTabbedPanel$1,org.apache.wicket.ajax.markup.html.AjaxFallbackLink,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.sortable.Droppable$1,org.apache.wicket.Component,1,0,0,0,0,0,0,0,1,0,0,[  ],1,[  getMarkupId ]
org.wicketstuff.yui.markup.html.list.YuiDDListViewPanel,org.wicketstuff.yui.markup.html.list.YuiDDListViewPanel$2,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu.YuiMenuItem,org.wicketstuff.yui.markup.html.menu.AbstractYuiMenuItem,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu2.action.AjaxLinkAction,org.apache.wicket.model.Model,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu2.YuiMenuGroup$1,org.apache.wicket.markup.html.WebMarkupContainer,1,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.selection.Selection,org.apache.wicket.util.template.PackagedTextTemplate,1,0,0,0,0,0,1,0,1,0,0,[  ],2,[  interpolate getString ]
org.wicketstuff.yui.markup.html.carousel.YuiCarousel,org.wicketstuff.yui.helper.Attributes,0,0,0,0,0,0,1,0,1,0,0,[  ],2,[  add toString ]
org.wicketstuff.yui.markup.html.ellipse.EllipsePanel$2,org.apache.wicket.behavior.AttributeAppender,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu.YuiMenuGroup,org.apache.wicket.markup.html.WebComponent,1,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.anim.AnimBox$AnimSelectBox,org.wicketstuff.yui.helper.YuiImage,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.slider.Slider,org.wicketstuff.yui.markup.html.slider.Slider$1,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.menu2.YuiMenuItem,org.apache.wicket.model.IModel,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.dragdrop.DragDropGroup,org.wicketstuff.yui.markup.html.dragdrop.DragDropGroup$1,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.wicketstuff.yui.markup.html.animselect.AnimSelectOptionGroup,org.wicketstuff.yui.markup.html.animselect.AnimSelectOption,0,0,0,0,0,1,0,0,1,1,0,[  ],1,[  getSelectedValue ]
org.wicketstuff.yui.markup.html.list.YuiDDListView$1,org.apache.wicket.markup.html.list.ListItem,1,0,0,0,1,0,0,1,0,1,0,[  ],1,[  getModelObject ]
org.wicketstuff.yui.markup.html.dragdrop.DragDropSettings,org.wicketstuff.yui.markup.html.dragdrop.TargetSlotList,0,0,0,1,1,0,0,1,1,0,0,[  ],2,[  getSize getTargetSlot ]
org.wicketstuff.yui.markup.html.selection.SelectionSettings,org.wicketstuff.yui.helper.YuiAttribute,0,0,0,1,1,0,0,1,1,0,0,[  ],1,[  getPropertyMap ]
org.wicketstuff.yui.markup.html.sort.SortBox$1,org.wicketstuff.yui.markup.html.sort.SortBox,0,0,0,0,1,0,0,1,0,0,0,[  ],1,[  getAnimSelectInitializationScript ]
