Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.AstNull,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstNegative,org.zkoss.zel.impl.parser.SimpleNode,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstNot,org.zkoss.zel.impl.lang.EvaluationContext,0,0,0,0,1,1,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.SimpleCharStream,0,0,0,0,0,0,1,1,0,0,0,[  ],1,[  ReInit ]
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.AstEqual,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.ResourceBundleELResolver,org.zkoss.zel.ELContext,0,0,0,0,1,1,0,0,1,0,0,[  ],1,[  setPropertyResolved ]
org.zkoss.zel.impl.parser.SimpleNode,org.zkoss.zel.impl.util.MessageFactory,0,0,0,0,0,0,0,0,0,0,1,[  get ],0,[  ]
org.zkoss.zel.BeanELResolver$BeanProperty,java.beans.PropertyDescriptor,1,0,0,0,0,1,0,1,1,0,0,[  ],4,[  getName getWriteMethod getReadMethod getPropertyType ]
org.zkoss.zel.impl.lang.ELSupport,java.math.BigDecimal,1,0,0,0,0,0,1,0,1,1,0,[  ],3,[  equals toBigInteger compareTo ]
org.zkoss.zel.impl.parser.AstGreaterThan,org.zkoss.zel.impl.parser.Node,0,0,0,0,0,0,0,0,0,0,0,[  ],1,[  getValue ]
org.zkoss.zel.impl.parser.AstLessThanEqual,org.zkoss.zel.impl.lang.EvaluationContext,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstInteger,java.math.BigInteger,1,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.ELParser$LookaheadSuccess,org.zkoss.zel.impl.parser.ELParser$1,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.ELParserTokenManager,org.zkoss.zel.impl.parser.TokenMgrError,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstCompositeExpression,org.zkoss.zel.impl.lang.EvaluationContext,0,0,0,0,1,1,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstNull,org.zkoss.zel.impl.lang.EvaluationContext,0,0,0,0,1,1,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstNegative,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.util.CacheMap$Value,org.zkoss.zel.impl.util.CacheMap$1,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.util.FastReadCache$InnerCache,org.zkoss.zel.impl.util.CacheMap$Value,0,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.MapELResolver,org.zkoss.zel.PropertyNotWritableException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.ValueExpressionImpl,org.zkoss.zel.ValueReference,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstEqual,org.zkoss.zel.impl.parser.BooleanNode,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.lang.ELArithmetic$BigDecimalDelegate,java.math.BigInteger,1,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstValue,org.zkoss.zel.impl.util.MessageFactory,0,0,0,0,0,0,0,0,0,0,1,[  get ],0,[  ]
org.zkoss.zel.impl.util.CacheMap$KeySet,org.zkoss.zel.impl.util.CacheMap,0,0,0,0,1,0,0,1,1,0,2,[  access$700 access$800 ],4,[  size containsKey clear remove ]
org.zkoss.zel.BeanELResolver$BeanProperty,org.zkoss.zel.BeanELResolver,0,0,0,0,0,0,0,0,0,0,1,[  access$200 ],0,[  ]
org.zkoss.zel.impl.lang.EvaluationContext,org.zkoss.zel.ELContext,0,1,0,1,1,0,0,1,1,0,0,[  ],7,[  putContext setPropertyResolved isPropertyResolved getContext getLocale getELResolver setLocale ]
org.zkoss.zel.impl.parser.AstGreaterThanEqual,org.zkoss.zel.impl.parser.Node,0,0,0,0,0,0,0,0,0,0,0,[  ],1,[  getValue ]
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.AstString,0,0,0,0,0,0,1,0,1,0,0,[  ],1,[  setImage ]
org.zkoss.zel.impl.lang.FunctionMapperImpl,org.zkoss.zel.impl.lang.FunctionMapperImpl$Function,0,0,0,0,0,1,1,0,1,1,0,[  ],1,[  getMethod ]
org.zkoss.zel.impl.parser.AstFunction,org.zkoss.zel.ELException,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.ValueExpressionImpl,org.zkoss.zel.FunctionMapper,0,0,0,0,0,1,0,1,1,1,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.AstGreaterThanEqual,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.lang.ELArithmetic$DoubleDelegate,java.math.BigInteger,1,0,0,0,0,0,0,0,0,1,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstMinus,org.zkoss.zel.impl.parser.Node,0,0,0,0,0,0,0,0,0,0,0,[  ],1,[  getValue ]
org.zkoss.zel.impl.util.FastReadCache$InnerCache,org.zkoss.zel.impl.util.CacheMap,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.BooleanNode,org.zkoss.zel.impl.lang.EvaluationContext,0,0,0,0,0,1,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.Node,org.zkoss.zel.MethodInfo,0,0,0,0,0,1,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstCompositeExpression,org.zkoss.zel.impl.lang.ELSupport,0,0,0,0,0,0,0,0,0,0,1,[  coerceToString ],0,[  ]
org.zkoss.zel.impl.parser.AstFunction,org.zkoss.zel.impl.lang.EvaluationContext,0,0,0,0,1,1,0,0,1,0,0,[  ],1,[  getFunctionMapper ]
org.zkoss.zel.impl.parser.AstDotSuffix,org.zkoss.zel.impl.lang.EvaluationContext,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.AstFunction,0,0,0,0,0,0,1,0,1,0,0,[  ],2,[  setPrefix setLocalName ]
org.zkoss.zel.ELContextListener,org.zkoss.zel.ELContextEvent,0,0,0,0,1,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.BeanELResolver$BeanProperties,org.zkoss.zel.PropertyNotFoundException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.CompositeELResolver$FeatureIterator,java.beans.FeatureDescriptor,1,0,0,1,0,1,0,1,1,1,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstBracketSuffix,org.zkoss.zel.impl.parser.Node,0,0,0,0,0,0,0,0,0,0,0,[  ],1,[  getValue ]
org.zkoss.zel.CompositeELResolver$FeatureIterator,org.zkoss.zel.ELContext,0,0,0,0,1,0,0,1,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstIdentifier,org.zkoss.zel.ELContext,0,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.lang.ELArithmetic,org.zkoss.zel.impl.lang.ELArithmetic$BigDecimalDelegate,0,0,0,0,0,0,1,1,0,0,0,[  ],1,[  matches ]
org.zkoss.zel.impl.lang.ExpressionBuilder,org.zkoss.zel.impl.parser.ELParser,0,0,0,0,0,0,1,0,1,0,0,[  ],1,[  CompositeExpression ]
org.zkoss.zel.ResourceBundleELResolver,org.zkoss.zel.PropertyNotWritableException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.lang.VariableMapperImpl,org.zkoss.zel.ValueExpression,0,0,0,1,1,1,0,0,1,1,0,[  ],0,[  ]
org.zkoss.zel.impl.util.CacheMap$KeyIter,org.zkoss.zel.impl.util.CacheMap$1,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.util.FastReadCache,org.zkoss.zel.impl.util.FastReadCache$InnerCache,0,0,0,0,1,0,1,0,1,0,0,[  ],9,[  containsKeyWithoutExpunge getWithoutExpunge getMaxSize getLifetime containsKey get putAll setLifetime setMaxSize ]
org.zkoss.zel.impl.parser.AstOr,org.zkoss.zel.impl.parser.BooleanNode,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstDiv,org.zkoss.zel.impl.parser.ArithmeticNode,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.lang.ExpressionBuilder,org.zkoss.zel.impl.lang.VariableMapperFactory,0,0,0,0,0,0,1,0,0,1,0,[  ],1,[  create ]
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.AstOr,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.ValueExpression,org.zkoss.zel.Expression,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.AstDeferredExpression,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstIdentifier,org.zkoss.zel.MethodExpression,0,0,0,1,0,0,0,0,1,1,0,[  ],2,[  getMethodInfo invoke ]
org.zkoss.zel.impl.parser.AstDynamicExpression,org.zkoss.zel.impl.lang.EvaluationContext,0,0,0,0,1,1,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.lang.ExpressionBuilder,org.zkoss.zel.impl.util.MessageFactory,0,0,0,0,0,0,0,0,0,0,1,[  get ],0,[  ]
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.AstLessThanEqual,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.JJTELParserState,org.zkoss.zel.impl.parser.Node,0,0,0,1,1,1,0,0,1,1,0,[  ],4,[  jjtOpen jjtAddChild jjtClose jjtSetParent ]
org.zkoss.zel.impl.parser.AstAnd,org.zkoss.zel.impl.parser.Node,0,0,0,0,0,0,0,0,0,0,0,[  ],1,[  getValue ]
org.zkoss.zel.impl.parser.AstPlus,org.zkoss.zel.impl.lang.EvaluationContext,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstChoice,org.zkoss.zel.impl.parser.SimpleNode,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.lang.ELSupport,java.math.BigInteger,1,0,0,0,0,0,1,0,1,1,1,[  valueOf ],2,[  equals compareTo ]
org.zkoss.zel.impl.parser.AstPlus,org.zkoss.zel.impl.lang.ELArithmetic,0,0,0,0,0,0,0,0,0,0,1,[  add ],0,[  ]
org.zkoss.zel.impl.parser.AstTrue,org.zkoss.zel.impl.parser.BooleanNode,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.AstDynamicExpression,org.zkoss.zel.impl.parser.Node,0,0,0,0,0,0,0,0,0,0,0,[  ],4,[  getValue isReadOnly getType setValue ]
org.zkoss.zel.impl.parser.AstNull,org.zkoss.zel.impl.parser.SimpleNode,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.lang.ExpressionBuilder,org.zkoss.zel.FunctionMapper,0,0,0,0,0,0,0,1,1,0,0,[  ],1,[  resolveFunction ]
org.zkoss.zel.BeanELResolver$1,java.security.PrivilegedAction,1,0,1,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.parser.ELParser,org.zkoss.zel.impl.parser.AstMod,0,0,0,0,0,0,1,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.lang.FunctionMapperImpl,org.zkoss.zel.FunctionMapper,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.MapELResolver,org.zkoss.zel.ELContext,0,0,0,0,1,1,0,0,1,0,0,[  ],1,[  setPropertyResolved ]
org.zkoss.zel.ListELResolver,org.zkoss.zel.PropertyNotFoundException,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.impl.util.Classes,org.zkoss.zel.impl.util.FastReadCache,0,0,0,0,0,0,1,0,0,0,0,[  ],0,[  ]
org.zkoss.zel.BeanELResolver,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.util.Classes,org.zkoss.zel.impl.util.Classes$AOInfo,0,0,0,0,0,1,1,0,1,0,0,[  ],0,[  ]
org.zkoss.zel.impl.util.CacheMap$Entry,org.zkoss.zel.impl.util.CacheMap$1,0,0,0,0,1,0,0,0,1,0,0,[  ],0,[  ]
