Class1(From),Class2(To),isExternalDep,isSuperClass,isImplementingInterface,hasReturn,hasParameter,hasBinding,instantiates,hasField,hasLocalVariable,hasCast,numberOfStaticMethodsCalled,StaticMethodsCalled,numberOfMethodsCalled,MethodsCalled
net.zypr.api.vo.ItemVO,net.zypr.api.enums.ItemDisplay,0,0,0,1,1,0,0,1,0,0,1,[  valueOf ],1,[  name ]
net.zypr.api.vo.ServiceVO,net.zypr.api.vo.GenericVO,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.InfoMessageGetTypeVO,org.json.simple.JSONArray,1,0,0,0,0,0,1,0,1,1,0,[  ],3,[  add size get ]
net.zypr.api.vo.PhoneNumberVO,net.zypr.api.vo.GenericVO,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.Shop,org.json.simple.JSONObject,1,0,0,1,0,0,1,0,1,1,0,[  ],3,[  toJSONString get put ]
net.zypr.api.Contact,net.zypr.api.Protocol,0,1,0,0,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.Map,net.zypr.api.vo.ServiceDetailsVO,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.Contact,net.zypr.api.vo.ServiceDetailsVO,0,0,0,1,0,0,0,0,0,0,0,[  ],0,[  ]
net.zypr.api.vo.GenericVO,org.json.simple.JSONObject,1,0,0,1,0,0,0,0,1,0,0,[  ],1,[  toJSONString ]
net.zypr.api.enums.MapType,org.objectweb.asm.Type,1,0,0,0,0,0,0,0,1,0,0,[  ],0,[  ]
net.zypr.api.vo.GeoPositionVO,java.beans.PropertyChangeSupport,1,0,0,0,0,0,0,0,0,0,0,[  ],1,[  firePropertyChange ]
net.zypr.api.bgprocesses.FriendListUpdater,net.zypr.api.Session,0,0,0,0,0,0,0,0,1,0,1,[  getInstance ],2,[  setFriendList isPartialAPICall ]
net.zypr.api.vo.SignageVO,org.json.simple.JSONObject,1,0,0,1,1,0,1,0,1,0,0,[  ],2,[  get put ]
net.zypr.api.vo.InfoMessageSentTypeVO,net.zypr.api.vo.GeoPositionVO,0,0,0,1,1,0,0,1,0,0,0,[  ],1,[  toJSON ]
net.zypr.api.vo.InfoContactTypeVO,net.zypr.api.vo.AddressVO,0,0,0,1,1,0,1,1,0,0,0,[  ],2,[  toJSON clone ]
